id,question,options,image,decoded_image,answer,solution,level,subject
1,"Which number should be written in place of the question mark?
<image1>",[],images/1.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1176x178 at 0x7CE8E4D81150>,60,,2,arithmetic
2,"Which bike is most expensive?
<image1>","['A', 'B', 'C', 'D', 'E']",images/2.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1418x348 at 0x7CE8E1D4B3D0>,A,,2,arithmetic
3,"Which kite has the longest string?
<image1>","['A', 'B', 'C', 'D', 'E']",images/3.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1418x448 at 0x7CE8E1D4A5D0>,C,,1,metric geometry - length
9,"A squirrel is following the paths of labyrinth and collecting food for winter. Which stuff it will not be able to take?
<image1>","['A', 'B', 'C', 'D', 'E']",images/9.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1268x1110 at 0x7CE8E1D43FD0>,D,,1,graph theory
12,"Now it is 2008. What is the total sum of these digits?
<image1>",[],images/12.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=384x291 at 0x7CE8E1D31C50>,10,,2,arithmetic
13,"Which of these figures differs from the rest four?
<image1>","['A', 'B', 'C', 'D', 'E']",images/13.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=1160x380 at 0x7CE8E1D32610>,E,,2,transformation geometry
14,"Mary has written all the numbers from 1 to 30 . How many times has she written digit 2?
<image1>",[],images/14.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=385x411 at 0x7CE8E1D32ED0>,13,,1,counting
15,"Emily celebrated her birthday on Thursday, and her sister Liepa 8 days earlier. Which weekday was that?
<image1>","['Wednesday', 'Thursday', 'Friday', 'Tuesday', 'Sunday']",images/15.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=422x282 at 0x7CE8E1D33850>,A,,2,arithmetic
17,"A jump of a little kangaroo is three times shorter than its mother's. How many jumps should the little kangaroo make to cover the distance equal to 7 jumps of its mother?
<image1>",[],images/17.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=414x182 at 0x7CE8E1D5C8D0>,21,,2,arithmetic
18,"A fifteen-meter log has to be sawn into three-meter pieces. How many cuts are needed for that?
<image1>",[],images/18.jpg,<PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=432x237 at 0x7CE8E1D5D090>,4,,2,arithmetic
